               Simulated_Sample	               Simulated_Sample	Simulated_Sample_with_True_Fits	Simulated_Sample_with_True_Fits
                       167.3816	                       240.5641	                       167.3816	                       240.5641
                       163.9952	                       224.3945	                       163.9952	                       224.3945
                       176.2855	                       195.3422	                       176.2855	                       195.3422
                       182.4024	                       220.7025	                       182.4024	                       220.7025
                       181.8031	                       213.4821	                       181.8031	                       213.4821
                       170.0887	                       191.7088	                       170.0887	                       191.7088
                       150.6510	                       206.7003	                       150.6510	                       206.7003
                       173.8180	                       189.7967	                       173.8180	                       189.7967
                       178.7274	                       224.4372	                       178.7274	                       224.4372
                       152.9944	                       218.4761	                       152.9944	                       218.4761
                       165.8363	                       187.2539	                       165.8363	                       187.2539
                       156.3892	                       231.4206	                       156.3892	                       231.4206
                        70.8748	                       234.7768	                        70.8748	                       234.7768
                        76.6966	                       212.0253	                        76.6966	                       212.0253
                        86.7482	                       207.2300	                        86.7482	                       207.2300
                        71.9270	                       218.2382	                        71.9270	                       218.2382
                        77.5106	                       191.4986	                        77.5106	                       191.4986
                        81.2598	                       243.7843	                        81.2598	                       243.7843
                       168.0767	                       182.6590	                       168.0767	                       182.6590
                       170.0814	                       242.9938	                       170.0814	                       242.9938
                       178.6409	                       232.2048	                       178.6409	                       232.2048
                       184.4261	                       178.9883	                       184.4261	                       178.9883
                       156.0759	                       230.6809	                       156.0759	                       230.6809
                       167.9088	                       161.6170	                       167.9088	                       161.6170
                       165.7069	                       180.9045	                       165.7069	                       180.9045
                       165.8240	                       224.8097	                       165.8240	                       224.8097
                       143.2309	                       240.1426	                       143.2309	                       240.1426
                       163.6053	                       246.8337	                       163.6053	                       246.8337
                       187.0726	                       260.6042	                       187.0726	                       260.6042
                       169.1896	                       176.5219	                       169.1896	                       176.5219
                       176.5923	                       203.0516	                       176.5923	                       203.0516
                       169.9118	                       249.8682	                       169.9118	                       249.8682
                       158.4361	                       202.4299	                       158.4361	                       202.4299
                       152.0795	                       186.8473	                       152.0795	                       186.8473
                       172.3329	                       180.3845	                       172.3329	                       180.3845
                       154.1608	                       219.9851	                       154.1608	                       219.9851
                       149.5832	                       235.8069	                       149.5832	                       235.8069
                       158.0029	                       247.7914	                       158.0029	                       247.7914
                       168.1754	                       219.1962	                       168.1754	                       219.1962
                       144.2896	                       248.1820	                       144.2896	                       248.1820
                       162.8032	                       202.8918	                       162.8032	                       202.8918
                       146.2480	                       211.8015	                       146.2480	                       211.8015
                       164.7469	                       208.5209	                       164.7469	                       208.5209
                       185.6630	                       215.5064	                       185.6630	                       215.5064
                       165.2493	                       194.8455	                       165.2493	                       194.8455
                       173.3348	                       206.8957	                       173.3348	                       206.8957
                       171.7329	                       205.0201	                       171.7329	                       205.0201
                       172.8924	                       385.1676	                       172.8924	                       385.1676
                       161.3807	                       286.5018	                       161.3807	                       286.5018
                       166.9238	                       308.0465	                       166.9238	                       308.0465
                       167.3544	                       338.5357	                       167.3544	                       338.5357
                       181.7794	                       313.9300	                       181.7794	                       313.9300
                       173.4316	                       338.4718	                       173.4316	                       338.4718
                       169.8927	                       336.3580	                       169.8927	                       336.3580
                       187.8507	                       285.3384	                       187.8507	                       285.3384
                       160.7006	                       422.9538	                       160.7006	                       422.9538
                       166.3575	                       440.4635	                       166.3575	                       440.4635
                       152.9084	                       400.8031	                       152.9084	                       400.8031
                       166.2410	                       413.6684	                       166.2410	                       413.6684
                       177.1918	                       466.9628	                       177.1918	                       466.9628
                       166.0390	                       321.7531	                       166.0390	                       321.7531
                       160.0819	                       386.1086	                       160.0819	                       386.1086
                       169.0832	                       341.6599	                       169.0832	                       341.6599
                       176.8471	                       312.6504	                       176.8471	                       312.6504
                       188.0495	                       308.5322	                       188.0495	                       308.5322
                       167.2239	                       348.9950	                       167.2239	                       348.9950
                       174.0275	                       358.8938	                       174.0275	                       358.8938
                       156.9332	                       276.0137	                       156.9332	                       276.0137
                       166.9478	                       336.6696	                       166.9478	                       336.6696
                       171.4596	                       297.1720	                       171.4596	                       297.1720
                       178.6260	                       354.8891	                       178.6260	                       354.8891
                       149.3376	                       327.5787	                       149.3376	                       327.5787
                       170.1786	                       327.5194	                       170.1786	                       327.5194
                       141.9824	                       340.0233	                       141.9824	                       340.0233
                       185.0901	                       319.7160	                       185.0901	                       319.7160
                       162.0674	                       326.2071	                       162.0674	                       326.2071
                       152.0201	                       317.3800	                       152.0201	                       317.3800
                       191.0889	                       384.9909	                       191.0889	                       384.9909
                       156.3033	                       273.3462	                       156.3033	                       273.3462
                       167.1687	                       308.8548	                       167.1687	                       308.8548
                       164.3385	                       343.5412	                       164.3385	                       343.5412
                       162.9156	                       333.6537	                       162.9156	                       333.6537
                       161.7594	                       300.4164	                       161.7594	                       300.4164
                       170.2533	                       397.1640	                       170.2533	                       397.1640
                       160.3915	                       327.0313	                       160.3915	                       327.0313
                       176.4060	                       354.1969	                       176.4060	                       354.1969
                       154.8534	                       314.0165	                       154.8534	                       314.0165
                       164.4589	                       298.6831	                       164.4589	                       298.6831
                       161.1965	                       330.8343	                       161.1965	                       330.8343
                       170.0802	                       382.6931	                       170.0802	                       382.6931
                       169.6401	                       365.2895	                       169.6401	                       365.2895
                       177.9614	                       305.6684	                       177.9614	                       305.6684
                       148.3395	                       323.7669	                       148.3395	                       323.7669
                       180.0452	                       327.6177	                       180.0452	                       327.6177
                       190.9550	                       317.3549	                       190.9550	                       317.3549
                       161.4081	                       356.7163	                       161.4081	                       356.7163
                       164.9104	                       356.4226	                       164.9104	                       356.4226
                       167.5593	                       381.2956	                       167.5593	                       381.2956
                       166.2835	                       331.3724	                       166.2835	                       331.3724
                       170.7811	                       361.2520	                       170.7811	                       361.2520
                       146.3681	                       360.6447	                       146.3681	                       360.6447
                       169.8989	                       332.0710	                       169.8989	                       332.0710
                       187.4801	                       313.0802	                       187.4801	                       313.0802
                       171.4089	                       389.4894	                       171.4089	                       389.4894
                       135.6376	                       337.5604	                       135.6376	                       337.5604
                       174.0087	                       345.5605	                       174.0087	                       345.5605
                       164.4352	                       337.9511	                       164.4352	                       337.9511
                       175.6888	                       318.8117	                       175.6888	                       318.8117
                       164.3555	                       362.4506	                       164.3555	                       362.4506
                       182.5199	                       369.5843	                       182.5199	                       369.5843
                       148.4422	                       350.4263	                       148.4422	                       350.4263
                       166.0090	                       364.2254	                       166.0090	                       364.2254
                       172.1850	                       349.6858	                       172.1850	                       349.6858
                       158.9088	                       317.2229	                       158.9088	                       317.2229
                       162.3002	                       308.1114	                       162.3002	                       308.1114
                       186.0682	                       343.4199	                       186.0682	                       343.4199
                       186.8949	                       358.7367	                       186.8949	                       358.7367
                       158.5953	                       354.6939	                       158.5953	                       354.6939
                       169.8196	                       384.2040	                       169.8196	                       384.2040
                       178.0213	                       352.8741	                       178.0213	                       352.8741
                       169.1044	                       420.2842	                       169.1044	                       420.2842
                        62.6063	                       428.6784	                        62.6063	                       428.6784
                       155.3867	                       395.4978	                       155.3867	                       395.4978
                       181.2347	                       330.8796	                       181.2347	                       330.8796
                        77.3391	                       339.6314	                        77.3391	                       339.6314
                        86.6594	                       343.5769	                        86.6594	                       343.5769
                        73.1375	                       304.8266	                        73.1375	                       304.8266
                        97.6171	                       174.0925	                        97.6171	                       174.0925
                        82.9319	                       210.1851	                        82.9319	                       210.1851
                        94.5374	                       187.7772	                        94.5374	                       187.7772
                        66.0148	                       191.6147	                        66.0148	                       191.6147
                        89.0203	                       185.9037	                        89.0203	                       185.9037
                        85.5726	                       160.2680	                        85.5726	                       160.2680
                        71.9733	                       182.7838	                        71.9733	                       182.7838
                        77.2520	                       218.9631	                        77.2520	                       218.9631
                        89.9923	                       364.1440	                        89.9923	                       364.1440
                        72.4440	                       352.5709	                        72.4440	                       352.5709
                        84.9426	                       316.7831	                        84.9426	                       316.7831
                        93.0566	                       354.7818	                        93.0566	                       354.7818
                        86.5169	                       350.9870	                        86.5169	                       350.9870
                        86.5287	                       346.4833	                        86.5287	                       346.4833
                        84.8963	                       355.2544	                        84.8963	                       355.2544
                       100.5505	                       371.6862	                       100.5505	                       371.6862
                        80.3089	                       327.1868	                        80.3089	                       327.1868
                        81.4107	                       337.1924	                        81.4107	                       337.1924
                        81.9760	                       373.5701	                        81.9760	                       373.5701
                        81.4673	                       325.9652	                        81.4673	                       325.9652
                        87.3868	                       300.2117	                        87.3868	                       300.2117
                        97.0794	                       350.2050	                        97.0794	                       350.2050
                        87.2084	                       347.7092	                        87.2084	                       347.7092
                        96.3614	                       289.6687	                        96.3614	                       289.6687
                        75.5438	                       310.7089	                        75.5438	                       310.7089
                        85.8595	                       311.8049	                        85.8595	                       311.8049
                        95.5201	                       290.1395	                        95.5201	                       290.1395
                        83.3788	                       326.1911	                        83.3788	                       326.1911
                        81.8276	                       295.0848	                        81.8276	                       295.0848
                        93.4792	                       340.7281	                        93.4792	                       340.7281
                        72.9273	                       300.6535	                        72.9273	                       300.6535
                        93.1202	                       324.8908	                        93.1202	                       324.8908
                        85.2815	                       302.9577	                        85.2815	                       302.9577
                        75.1336	                       328.0869	                        75.1336	                       328.0869
                       147.1551	                       284.8137	                       147.1551	                       284.8137
                       172.1196	                       337.3163	                       172.1196	                       337.3163
                       170.1515	                       328.0046	                       170.1515	                       328.0046
                       187.0881	                       369.4912	                       187.0881	                       369.4912
                       161.1376	                       295.1333	                       161.1376	                       295.1333
                       155.3350	                       324.9440	                       155.3350	                       324.9440
                       171.3026	                       316.1388	                       171.3026	                       316.1388
                       179.8174	                       322.1293	                       179.8174	                       322.1293
                       178.9752	                       362.6829	                       178.9752	                       362.6829
                       180.7427	                       352.9357	                       180.7427	                       352.9357
                       164.0193	                       352.5500	                       164.0193	                       352.5500
                       171.9776	                       301.0089	                       171.9776	                       301.0089
                       167.5119	                       312.5306	                       167.5119	                       312.5306
                       167.1468	                       327.2058	                       167.1468	                       327.2058
                       163.5565	                       338.4776	                       163.5565	                       338.4776
                       183.2220	                       373.1028	                       183.2220	                       373.1028
                       165.3873	                       326.9187	                       165.3873	                       326.9187
                       164.0255	                       321.9610	                       164.0255	                       321.9610
                       165.1390	                       287.6692	                       165.1390	                       287.6692
                       180.0510	                       332.3808	                       180.0510	                       332.3808
                        77.0848	                       337.0143	                        77.0848	                       337.0143
                        68.9659	                       374.1224	                        68.9659	                       374.1224
                        87.1524	                       321.6335	                        87.1524	                       321.6335
                        68.1326	                       303.4754	                        68.1326	                       303.4754
                        87.8927	                       347.9585	                        87.8927	                       347.9585
                        91.4612	                       360.3626	                        91.4612	                       360.3626
                        85.5463	                       281.5491	                        85.5463	                       281.5491
                        79.9252	                       331.7701	                        79.9252	                       331.7701
                        79.0809	                       329.8794	                        79.0809	                       329.8794
                       167.3707	                       342.8895	                       167.3707	                       342.8895
                       159.0040	                       219.0726	                       159.0040	                       219.0726
                        64.7975	                       200.6323	                        64.7975	                       200.6323
                        79.7337	                       265.2035	                        79.7337	                       265.2035
                        84.5716	                       243.3981	                        84.5716	                       243.3981
                        82.7402	                       210.8744	                        82.7402	                       210.8744
                        85.2705	                       231.4283	                        85.2705	                       231.4283
                        77.1924	                       226.1375	                        77.1924	                       226.1375
                        69.7706	                       263.8554	                        69.7706	                       263.8554
                        81.8043	                       210.0667	                        81.8043	                       210.0667
                        93.2054	                       242.7623	                        93.2054	                       242.7623
                        73.1410	                       215.1877	                        73.1410	                       215.1877
                        90.2767	                       181.4424	                        90.2767	                       181.4424
                        85.7530	                       363.4750	                        85.7530	                       363.4750
                        78.3448	                       399.5641	                        78.3448	                       399.5641
                        86.6553	                       323.1305	                        86.6553	                       323.1305
                        68.0764	                       193.9671	                        68.0764	                       193.9671
                        90.2951	                       229.0739	                        90.2951	                       229.0739
                        78.4641	                       204.5941	                        78.4641	                       204.5941
                        88.5455	                       158.8244	                        88.5455	                       158.8244
                        79.7780	                       214.7842	                        79.7780	                       214.7842
                        99.7104	                       149.9617	                        99.7104	                       149.9617
                        83.4875	                       212.2083	                        83.4875	                       212.2083
                       103.8213	                       206.1990	                       103.8213	                       206.1990
                        62.8620	                       237.4314	                        62.8620	                       237.4314
                        81.2457	                       329.4717	                        81.2457	                       329.4717
                        76.9292	                       295.8694	                        76.9292	                       295.8694
                        95.5785	                       352.8906	                        95.5785	                       352.8906
                        75.9966	                       411.5939	                        75.9966	                       411.5939
                       101.9099	                       279.4875	                       101.9099	                       279.4875
                        87.8510	                       292.3465	                        87.8510	                       292.3465
                        79.2797	                       315.6657	                        79.2797	                       315.6657
                        77.9332	                       358.5769	                        77.9332	                       358.5769
                        73.6911	                       338.5175	                        73.6911	                       338.5175
                        96.1309	                       343.1752	                        96.1309	                       343.1752
                        66.3230	                       286.3081	                        66.3230	                       286.3081
                        84.5473	                       215.9024	                        84.5473	                       215.9024
                        74.5879	                       269.5316	                        74.5879	                       269.5316
                        82.0003	                       226.2869	                        82.0003	                       226.2869
                       100.7973	                       213.0831	                       100.7973	                       213.0831
                        75.2506	                       293.5829	                        75.2506	                       293.5829
                        63.8678	                       306.9367	                        63.8678	                       306.9367
                       181.2515	                       336.2222	                       181.2515	                       336.2222
                       160.2077	                       313.4842	                       160.2077	                       313.4842
                       156.2326	                       308.2648	                       156.2326	                       308.2648
                        80.1857	                       264.2070	                        80.1857	                       264.2070
                        90.2446	                       322.4159	                        90.2446	                       322.4159
                        85.0063	                       336.9399	                        85.0063	                       336.9399
                        80.8509	                       297.6350	                        80.8509	                       297.6350
                        74.1170	                       329.7368	                        74.1170	                       329.7368
                        75.7230	                       328.3323	                        75.7230	                       328.3323
                        79.9385	                       386.4454	                        79.9385	                       386.4454
                        95.1539	                       274.2033	                        95.1539	                       274.2033
                        94.7930	                       440.8216	                        94.7930	                       440.8216
                       105.4041	                       449.0685	                       105.4041	                       449.0685
                        97.0977	                       490.9645	                        97.0977	                       490.9645
                        83.3887	                       421.5360	                        83.3887	                       421.5360
                        94.2750	                       453.4972	                        94.2750	                       453.4972
                        87.6364	                       430.4681	                        87.6364	                       430.4681
                        87.0166	                       333.3787	                        87.0166	                       333.3787
                        77.4937	                       361.4811	                        77.4937	                       361.4811
                        87.4448	                       410.7679	                        87.4448	                       410.7679
                        62.4682	                       411.9378	                        62.4682	                       411.9378
                        76.6419	                       461.1302	                        76.6419	                       461.1302
                        97.8619	                       500.2051	                        97.8619	                       500.2051
                        84.9229	                       458.6837	                        84.9229	                       458.6837
                        83.6639	                       442.1898	                        83.6639	                       442.1898
                        96.1447	                       468.8715	                        96.1447	                       468.8715
                        72.7232	                       414.5676	                        72.7232	                       414.5676
                        75.1969	                       439.0558	                        75.1969	                       439.0558
                        84.8384	                       423.8018	                        84.8384	                       423.8018
                        80.6294	                       446.9102	                        80.6294	                       446.9102
                        64.0028	                       437.1241	                        64.0028	                       437.1241
                        81.0796	                       432.2193	                        81.0796	                       432.2193
                        75.2489	                       443.1745	                        75.2489	                       443.1745
                        72.8635	                       426.7840	                        72.8635	                       426.7840
                        92.6713	                       463.9543	                        92.6713	                       463.9543
                        77.2448	                       386.3355	                        77.2448	                       386.3355
                        71.7992	                       416.5898	                        71.7992	                       416.5898
                       105.1836	                       397.5540	                       105.1836	                       397.5540
                        69.7567	                       419.6117	                        69.7567	                       419.6117
                        68.2984	                       418.0826	                        68.2984	                       418.0826
                        80.6568	                       485.7023	                        80.6568	                       485.7023
                        92.8754	                       443.1453	                        92.8754	                       443.1453
                        67.7133	                       467.0613	                        67.7133	                       467.0613
                        80.2630	                       431.5865	                        80.2630	                       431.5865
                        79.8591	                       483.1373	                        79.8591	                       483.1373
                        87.0633	                       432.7714	                        87.0633	                       432.7714
                        71.7673	                       441.8851	                        71.7673	                       441.8851
                        99.5131	                       496.5649	                        99.5131	                       496.5649
                        91.0276	                       439.0654	                        91.0276	                       439.0654
                        81.1293	                       475.5593	                        81.1293	                       475.5593
                        74.1920	                       461.6117	                        74.1920	                       461.6117
                        77.3393	                       442.7662	                        77.3393	                       442.7662
                        85.1969	                       439.2141	                        85.1969	                       439.2141
                        79.5844	                       402.5213	                        79.5844	                       402.5213
                        93.2003	                       411.0252	                        93.2003	                       411.0252
                        87.4553	                       484.5270	                        87.4553	                       484.5270
                        96.5489	                       364.5053	                        96.5489	                       364.5053
                        83.7881	                       418.2201	                        83.7881	                       418.2201
                        84.5164	                       403.1542	                        84.5164	                       403.1542
                        75.9310	                       357.1556	                        75.9310	                       357.1556
                        81.0396	                       447.5734	                        81.0396	                       447.5734
                        87.4727	                       399.2626	                        87.4727	                       399.2626
                        79.8619	                       390.6433	                        79.8619	                       390.6433
                        72.5352	                       431.9026	                        72.5352	                       431.9026
                        73.5021	                       436.7070	                        73.5021	                       436.7070
                        93.5249	                       402.4689	                        93.5249	                       402.4689
                        65.7145	                       430.1114	                        65.7145	                       430.1114
                        70.5007	                       423.4511	                        70.5007	                       423.4511
                        90.5838	                       478.6693	                        90.5838	                       478.6693
                        72.4618	                       406.8563	                        72.4618	                       406.8563
                        77.2282	                       416.7075	                        77.2282	                       416.7075
                        82.5655	                       400.1484	                        82.5655	                       400.1484
                        75.7539	                       406.3407	                        75.7539	                       406.3407
                        63.7156	                       422.3112	                        63.7156	                       422.3112
                        72.9323	                       539.6303	                        72.9323	                       539.6303
                       100.9068	                       552.0219	                       100.9068	                       552.0219
                        70.0000	                       552.2352	                        70.0000	                       552.2352
                        95.8465	                       549.2901	                        95.8465	                       549.2901
                       105.2370	                       546.6032	                       105.2370	                       546.6032
                        90.1402	                       583.8138	                        90.1402	                       583.8138
                        79.5653	                       555.7326	                        79.5653	                       555.7326
                        67.3172	                       533.0362	                        67.3172	                       533.0362
                        68.4468	                       552.7091	                        68.4468	                       552.7091
                        80.0546	                       554.5417	                        80.0546	                       554.5417
                        79.0499	                       552.6240	                        79.0499	                       552.6240
                        93.5523	                       527.2644	                        93.5523	                       527.2644
                       105.1872	                       593.0923	                       105.1872	                       593.0923
                        75.5623	                       532.8861	                        75.5623	                       532.8861
                        73.2053	                       626.5084	                        73.2053	                       626.5084
                        82.7063	                       527.2261	                        82.7063	                       527.2261
                        77.2916	                       629.6125	                        77.2916	                       629.6125
                        82.5122	                       533.6374	                        82.5122	                       533.6374
                        97.1342	                       511.7814	                        97.1342	                       511.7814
                       101.3192	                       555.4409	                       101.3192	                       555.4409
                        88.2045	                       505.9418	                        88.2045	                       505.9418
                        89.0781	                       447.7191	                        89.0781	                       447.7191
                       100.1989	                       475.6020	                       100.1989	                       475.6020
                        90.6581	                       441.9387	                        90.6581	                       441.9387
                        90.1063	                       524.2852	                        90.1063	                       524.2852
                        59.5920	                       456.0181	                        59.5920	                       456.0181
                        84.8403	                       437.5731	                        84.8403	                       437.5731
                        90.7085	                       414.9325	                        90.7085	                       414.9325
                        69.0141	                       448.2876	                        69.0141	                       448.2876
                        80.7779	                       471.8652	                        80.7779	                       471.8652
                        77.8740	                       452.2314	                        77.8740	                       452.2314
                        70.8682	                       448.7845	                        70.8682	                       448.7845
                        73.6856	                       356.4608	                        73.6856	                       356.4608
                        92.8630	                       336.3366	                        92.8630	                       336.3366
                        91.3294	                       353.8594	                        91.3294	                       353.8594
                        76.6776	                       322.6927	                        76.6776	                       322.6927
                       102.0187	                       392.3222	                       102.0187	                       392.3222
                        87.5784	                       372.7983	                        87.5784	                       372.7983
                        79.2789	                       342.7022	                        79.2789	                       342.7022
                        86.7110	                       304.8891	                        86.7110	                       304.8891
                        83.4769	                       325.2064	                        83.4769	                       325.2064
                        78.7006	                       245.7569	                        78.7006	                       245.7569
                        84.1428	                       292.2518	                        84.1428	                       292.2518
                        92.1865	                       246.0811	                        92.1865	                       246.0811
                        92.3929	                       210.6827	                        92.3929	                       210.6827
                        80.4872	                       175.8811	                        80.4872	                       175.8811
